total_views,total_carts,session_duration_minutes,experiment_group
9,5,10,0
1,1,0,1
1,3,0,1
0,4,0,1
1,1,0,1
0,5,0,1
0,6,2,1
1,6,2,0
4,3,7,1
3,2,6,0
1,1,0,0
0,2,0,0
4,8,49,0
9,6,27,1
1,2,1,0
9,4,10,1
2,4,16,1
0,18,8,0
1,15,16,0
0,4,23,0
4,2,19,1
1,2,1,0
2,2,0,1
2,5,5,1
0,1,0,0
0,2,1,0
2,5,25,1
2,1,2,1
0,12,15,0
6,1,4,1
23,10,184,1
4,10,23,1
0,1,0,0
0,1,1,0
1,3,0,0
8,3,13,1
2,10,16,0
7,5,48,1
59,13,68,0
3,1,5,1
3,2,19,0
5,10,27,0
9,3,30,1
2,132,56,1
3,1,6,0
16,1,12,1
17,8,23,0
2,1,2,1
8,3,12,1
0,1,0,1
9,11,22,1
7,3,17,0
6,8,52,0
11,13,97,0
10,2,31,1
2,2,1,1
5,22,36,1
1,3,0,0
1,2,0,1
1,1,1,0
0,1,0,1
3,2,8,0
2,11,43,0
4,2,9,0
3,2,3,0
2,2,3,1
1,5,13,1
6,11,56,0
1,1,1,0
4,9,20,1
5,13,35,1
2,5,7,0
1,3,0,0
4,2,2,0
3,3,19,1
0,1,0,1
17,10,52,1
0,10,9,1
7,19,34,1
4,4,45,0
0,1,27,0
27,19,56,0
0,1,0,0
13,1,7,1
13,13,23,1
25,7,56,1
3,3,33,1
12,3,45,0
1,1,0,1
0,2,0,1
35,4,32,1
1,1,1,1
3,1,3,0
1,1,0,1
6,26,33,0
1,10,7,0
1,3,0,0
0,1,0,1
1,7,6,1
1,3,0,0
2,1,8,0
2,3,34,1
2,11,6,1
0,2,0,0
8,3,14,0
3,3,2,0
10,6,70,1
4,6,21,1
12,1,10,1
8,9,18,1
18,14,34,0
3,4,32,1
0,4,1,1
4,8,9,0
5,3,23,1
0,6,5,0
7,3,7,0
5,3,5,0
1,1,2,1
2,3,8,1
1,1,1,1
1,24,2,0
6,3,11,1
2,2,4,0
1,3,0,1
14,11,41,0
17,7,27,0
1,1,0,0
9,9,58,1
31,4,41,0
15,4,17,1
3,4,16,0
9,8,17,1
3,3,10,0
1,3,0,0
2,5,14,1
19,2,26,1
2,1,28,0
1,3,3,0
1,10,15,1
18,17,26,0
3,6,19,0
4,7,29,0
1,3,0,0
0,8,4,1
0,1,3,1
2,12,24,1
0,1,0,1
7,14,31,0
11,1,24,0
0,16,19,0
5,3,7,1
25,24,75,1
3,2,13,0
0,1,0,1
1,3,0,0
0,11,9,0
2,3,6,1
1,3,9,1
11,2,16,1
2,9,32,0
4,4,8,0
4,4,7,1
14,9,40,0
3,4,8,1
0,1,1,1
2,11,33,1
0,3,6,0
1,1,0,1
2,2,15,1
8,1,48,0
13,5,29,0
1,2,2,1
1,2,7,1
2,2,7,1
0,9,13,0
1,3,0,0
2,1,13,1
13,13,24,0
1,1,0,1
1,1,1,0
1,1,1,1
2,1,0,1
2,5,10,1
5,18,16,1
0,1,0,1
0,5,14,1
1,2,8,1
1,1,1,1
1,1,1,1
2,7,32,0
11,3,34,0
1,3,0,0
10,4,29,1
12,8,29,0
2,14,17,1
6,1,15,1
3,37,11,1
1,26,28,1
5,6,20,0
7,1,13,0
1,1,0,1
0,5,13,1
7,2,34,0
9,13,54,1
0,1,0,0
6,8,12,0
1,3,0,0
2,5,14,1
1,2,5,1
3,1,23,1
3,10,8,1
6,2,1,0
2,2,43,0
6,1,3,0
4,2,4,0
9,2,19,1
2,3,6,0
7,4,0,0
3,3,8,1
23,1,45,0
4,1,29,1
4,2,5,1
0,3,3,1
3,4,17,1
6,6,18,1
3,1,4,1
20,20,43,0
2,4,3,0
4,2,6,1
10,15,34,0
4,70,82,0
7,3,5,0
0,1,0,1
0,3,0,0
0,5,12,1
8,13,35,1
0,2,0,1
6,4,10,0
0,15,16,1
3,6,11,0
1,19,45,0
18,11,31,0
8,1,31,1
0,1,0,0
3,1,3,0
0,1,0,1
1,1,0,0
3,15,38,1
1,3,0,0
2,1,0,0
0,11,2,1
4,8,28,0
45,19,100,1
4,10,16,0
1,4,2,1
9,1,42,1
3,2,2,1
3,1,5,1
16,8,46,0
1,1,2,0
44,6,94,1
1,3,0,0
1,1,1,1
5,2,28,1
0,3,0,0
0,17,18,0
3,2,5,1
2,1,0,1
2,6,6,0
15,10,46,0
9,12,67,1
0,4,7,0
1,3,0,0
22,6,16,0
5,1,7,0
6,2,8,1
2,3,31,1
4,3,5,1
2,1,3,0
10,8,37,1
0,1,0,0
1,1,2,1
2,1,2,1
0,24,7,0
9,54,74,0
2,4,7,1
13,4,42,0
1,3,3,0
1,3,0,0
28,4,27,1
0,1,0,1
0,1,0,0
2,2,16,1
55,15,47,0
8,1,4,0
1,9,17,0
14,4,27,1
3,1,3,0
1,1,3,1
6,26,10,0
3,1,8,0
1,1,4,0
15,6,33,1
37,13,104,0
2,2,2,0
1,3,0,1
0,2,2,0
4,1,29,0
10,1,16,0
5,7,31,1
1,13,4,0
1,5,1,1
2,2,5,1
0,2,0,1
2,2,29,0
0,2,0,0
7,1,5,0
3,8,59,1
0,7,5,0
0,29,4,0
2,1,2,0
20,4,30,1
2,3,18,0
1,2,1,0
5,18,31,0
11,3,12,0
2,25,8,0
1,75,39,1
6,15,32,0
30,7,45,1
0,23,12,1
15,4,14,1
0,1,11,1
0,1,0,0
1,3,4,1
22,7,51,0
1,3,6,1
11,2,15,0
8,6,14,1
3,6,32,1
1,1,0,1
4,1,12,0
16,2,24,1
12,6,35,1
13,4,17,1
3,2,6,1
6,3,5,1
1,2,0,1
0,1,0,1
5,1,12,1
3,1,1,1
2,1,26,0
7,21,49,0
5,1,2,0
0,1,0,0
1,32,21,1
4,1,29,1
1,3,0,1
1,1,0,0
3,6,22,0
1,3,0,1
0,2,3,0
4,6,15,0
3,2,8,1
0,2,1,1
1,2,0,0
5,1,2,1
15,3,15,1
0,1,0,0
0,2,0,0
1,3,0,0
3,1,5,1
2,1,5,1
1,1,6,1
0,6,0,0
0,2,0,0
6,1,14,0
15,3,24,1
16,8,21,1
1,3,0,0
2,1,3,0
1,8,15,1
0,1,1,0
2,1,0,1
5,3,16,0
1,1,9,1
5,1,4,0
3,7,11,1
1,2,0,1
28,19,43,0
0,24,8,0
1,7,8,0
14,5,59,1
3,7,25,0
3,17,23,1
5,2,8,0
0,1,16,1
35,8,104,1
8,1,19,0
11,1,13,0
1,1,1,1
1,5,5,1
1,3,4,0
5,2,6,1
1,7,10,0
1,3,23,1
0,2,15,0
10,1,35,0
1,3,4,0
3,3,20,1
1,5,10,1
2,6,4,0
11,2,12,1
1,1,0,1
1,5,3,1
0,9,22,1
0,12,4,1
4,3,60,0
2,1,0,1
0,4,11,1
13,4,11,1
1,2,4,1
0,4,19,1
5,12,14,0
0,17,3,1
12,15,36,0
0,3,8,1
4,1,6,0
1,3,0,0
2,1,2,0
2,11,36,0
0,2,1,1
1,3,0,1
3,12,45,0
11,7,31,0
0,6,4,1
0,2,0,0
6,1,6,1
4,23,36,0
3,29,29,0
3,3,5,1
2,5,35,1
1,1,0,0
1,7,8,1
1,2,5,1
1,2,0,1
0,1,0,0
0,3,5,1
0,1,0,1
1,1,12,0
1,11,33,1
1,3,0,0
6,18,32,0
1,3,0,1
129,32,217,0
0,5,23,1
0,1,0,0
1,3,0,0
0,2,0,1
0,1,0,1
3,4,0,0
83,18,86,0
1,4,3,1
1,3,0,0
12,7,18,1
8,1,9,0
2,4,11,1
6,4,48,1
30,9,130,0
24,3,11,1
3,1,18,1
2,11,64,0
1,5,5,0
4,4,32,0
1,1,4,0
1,1,0,0
6,6,33,0
10,48,106,1
3,5,11,0
1,3,0,0
1,12,29,0
4,1,25,1
0,1,0,1
1,1,3,1
2,3,0,1
8,9,27,1
3,1,7,1
2,1,9,0
5,10,16,1
3,2,4,1
6,8,14,0
10,7,33,0
18,9,32,1
4,1,5,0
1,3,2,0
5,3,7,1
0,1,0,1
0,4,0,1
14,14,47,1
1,9,40,1
0,5,27,1
12,13,66,1
23,17,50,0
0,1,0,1
10,2,11,0
49,6,159,0
9,4,59,1
3,1,1,0
1,2,0,1
0,17,8,0
1,3,1,0
0,5,5,0
0,2,0,1
1,1,1,0
5,1,7,0
16,7,43,0
14,2,6,1
4,8,35,0
18,25,67,0
22,1,77,1
21,5,28,1
4,3,10,1
1,3,0,0
1,3,0,1
1,3,0,0
0,1,13,0
4,1,24,0
17,4,118,1
0,2,22,0
2,3,3,1
6,8,11,1
7,5,20,1
0,1,0,0
12,8,16,0
19,10,92,1
3,2,1,1
39,10,81,1
1,1,4,0
9,10,29,1
2,3,9,0
2,1,3,1
6,27,18,0
0,3,22,1
2,3,10,0
6,8,3,0
10,2,57,1
99,24,112,1
0,2,2,1
3,1,21,1
1,5,0,0
9,2,9,1
0,1,0,1
2,3,20,1
22,2,118,1
14,1,15,0
45,10,82,1
9,1,29,1
6,8,18,0
2,5,15,1
3,1,16,0
38,13,105,1
1,3,1,1
32,14,90,0
0,1,0,0
4,39,97,1
24,12,96,1
1,1,0,1
2,2,5,1
2,5,9,1
1,1,4,1
4,2,5,1
3,8,35,0
0,4,31,1
1,2,0,1
32,6,47,1
13,12,69,1
21,17,39,1
15,5,19,1
0,1,0,0
2,8,9,1
0,7,15,1
8,21,27,0
0,3,27,1
1,3,0,1
0,2,0,1
1,3,0,0
5,3,7,1
14,7,21,1
5,11,29,0
3,1,24,0
3,10,11,1
2,1,27,1
4,3,6,1
1,3,2,0
3,2,7,1
1,9,12,0
1,3,6,1
1,2,4,1
1,4,8,1
1,1,0,0
1,2,2,1
0,14,8,0
4,2,1,0
4,7,24,0
0,15,37,1
35,4,30,1
1,11,0,1
12,1,24,1
17,5,26,1
9,4,12,0
5,4,28,1
1,8,19,1
1,2,1,1
3,14,19,0
0,4,3,0
5,1,28,0
0,4,0,0
0,5,1,0
2,1,11,1
1,2,0,1
1,3,0,0
1,1,9,1
1,1,0,0
22,1,36,0
1,6,4,1
3,1,8,1
2,1,2,0
5,7,54,0
1,5,3,0
1,2,0,0
0,4,5,0
21,2,75,0
8,2,6,1
3,2,5,0
2,1,2,1
1,1,0,1
1,3,0,0
11,14,66,1
2,1,5,1
13,7,12,0
1,6,6,0
9,16,100,1
3,6,10,1
2,4,4,1
3,2,9,1
0,5,20,0
20,10,20,1
1,3,0,0
0,3,0,0
2,2,7,1
1,1,0,0
0,2,12,1
1,4,7,1
0,15,19,0
41,5,41,1
2,2,13,0
43,22,67,0
1,1,0,1
5,1,5,0
12,1,7,1
0,1,0,0
1,1,0,1
3,2,4,0
0,1,0,1
2,4,4,1
0,3,0,1
1,3,0,1
3,4,5,1
4,5,8,1
1,3,0,0
1,3,0,0
0,3,0,0
10,3,4,1
6,2,34,1
3,2,3,0
14,2,28,1
1,3,0,0
1,27,20,1
16,1,9,0
2,10,16,1
10,8,46,1
1,3,1,1
0,2,0,0
5,1,2,0
2,1,1,0
16,5,70,0
0,5,3,0
0,1,0,0
0,3,10,1
0,2,1,1
3,4,23,1
1,3,0,1
0,2,2,1
1,1,0,0
1,1,1,1
8,22,36,1
14,24,29,0
4,3,8,0
4,3,26,1
3,3,7,0
0,2,2,1
0,10,23,1
1,3,4,0
11,5,11,0
9,1,36,1
13,19,38,0
4,1,5,1
10,24,50,1
4,9,9,1
1,3,0,0
1,3,1,1
4,2,14,1
11,4,18,0
6,4,10,0
6,1,11,1
0,1,28,1
1,6,6,0
8,1,17,0
0,9,4,0
12,16,17,1
9,1,22,0
5,1,4,0
2,5,2,0
0,2,1,0
1,4,4,0
3,1,1,1
5,6,32,1
0,1,0,1
22,28,66,1
0,3,5,1
3,8,10,1
17,5,48,1
15,7,31,0
11,20,23,0
3,5,16,1
3,1,5,0
7,1,33,1
22,9,63,0
1,1,2,0
5,2,8,0
4,2,5,1
2,1,11,0
1,2,0,0
1,3,0,0
1,3,0,0
0,5,5,1
3,15,13,1
14,26,102,1
1,12,8,1
0,3,3,0
0,4,0,0
9,4,18,1
12,1,5,1
1,2,2,0
2,2,4,0
19,3,29,0
10,1,13,0
19,3,31,1
3,38,23,0
0,10,36,1
1,3,0,1
1,2,0,1
6,7,6,1
11,3,15,1
10,2,38,0
2,3,9,0
0,6,4,1
5,7,15,0
1,13,7,0
3,11,22,1
0,2,2,0
0,6,9,0
12,15,45,1
6,1,8,1
3,7,9,0
1,3,0,0
2,1,4,0
2,6,0,0
1,8,33,0
1,2,0,1
4,1,25,0
44,10,220,0
8,10,51,0
12,25,36,1
1,1,0,1
11,9,5,1
1,3,2,0
11,1,31,0
0,1,0,1
15,17,47,0
12,11,37,0
0,12,52,0
11,4,7,0
6,26,58,0
3,5,9,0
4,6,21,1
14,1,15,1
39,15,53,1
2,9,11,1
0,2,0,0
15,3,71,1
9,21,27,1
0,4,9,1
1,3,0,0
1,1,1,0
39,14,152,0
1,15,29,1
15,1,43,0
5,1,5,0
1,3,0,0
2,1,1,0
2,4,44,0
1,10,43,1
19,4,56,1
3,27,11,0
0,15,9,0
2,4,1,1
0,2,3,0
73,117,154,0
3,1,0,0
2,2,4,1
9,11,20,1
6,2,8,0
0,5,19,1
22,25,99,0
1,1,0,1
9,3,13,0
1,1,1,0
1,1,1,0
21,6,90,0
2,5,17,1
1,1,0,1
18,7,25,0
16,13,64,1
1,2,0,0
1,1,0,0
8,4,12,0
3,1,0,1
0,1,0,0
19,15,24,1
1,9,21,0
6,3,43,1
10,6,12,0
1,2,3,0
1,3,0,0
5,14,27,1
0,2,0,1
2,2,2,0
0,1,0,1
6,5,25,0
1,2,2,0
1,1,0,0
0,2,0,0
10,1,35,0
0,2,2,1
1,3,3,0
1,1,3,1
3,3,3,0
12,3,44,0
1,1,0,1
3,17,18,0
7,3,25,0
0,1,0,1
6,6,48,1
0,5,0,1
3,12,11,0
3,5,7,1
3,14,10,0
14,36,73,1
0,34,46,1
2,1,6,1
11,17,18,1
1,4,5,0
2,1,5,1
2,1,4,1
22,22,92,1
0,1,0,1
1,2,0,1
0,1,0,1
1,2,2,0
45,27,121,0
1,1,0,0
1,3,0,1
0,3,0,0
0,8,15,1
1,1,0,0
0,1,0,1
1,3,0,1
0,1,0,0
5,11,27,1
7,1,22,1
0,5,2,1
0,1,0,0
1,1,0,1
1,3,2,1
22,1,50,0
5,2,17,0
1,3,1,1
6,2,12,1
2,2,3,1
8,16,11,0
8,4,16,0
3,2,0,1
12,12,11,1
11,3,38,1
1,1,0,1
0,2,0,1
1,1,0,1
4,5,28,0
4,12,11,0
0,9,10,0
1,7,13,1
0,15,7,0
3,3,25,0
0,1,0,0
4,7,22,1
1,3,1,1
0,1,0,0
6,3,19,1
1,2,0,1
10,5,13,0
2,17,32,1
6,1,16,1
3,19,20,0
4,5,11,1
0,2,0,0
0,6,4,0
14,15,42,1
2,50,24,0
6,2,18,1
0,3,0,1
7,6,39,1
0,2,4,1
3,10,8,0
0,2,0,0
13,55,34,1
10,5,37,1
1,4,6,0
0,9,25,1
10,1,8,1
13,5,18,0
4,10,21,1
17,27,51,0
2,29,84,1
13,4,10,0
2,2,2,0
10,23,39,0
8,16,35,0
10,1,4,1
1,2,3,1
1,3,0,0
4,1,10,1
1,3,0,1
1,17,24,0
1,3,2,0
0,2,1,1
0,14,28,1
5,1,25,1
6,1,13,0
0,2,0,0
10,3,24,1
3,12,6,0
13,1,10,0
1,4,2,0
19,22,108,0
2,5,28,1
0,1,0,0
14,2,35,1
4,9,4,1
4,2,9,1
7,2,16,0
1,3,0,1
0,1,0,1
26,17,41,1
1,16,3,0
6,4,36,0
1,3,0,0
2,4,12,0
1,2,0,1
1,1,0,1
1,2,0,1
1,3,0,0
1,8,27,1
5,1,10,1
1,1,0,1
0,1,0,0
1,6,8,0
9,5,14,0
11,1,6,0
22,14,74,1
1,2,8,1
1,1,1,1
0,3,0,1
6,31,30,1
0,4,5,0
0,20,18,1
0,1,0,1
1,2,35,1
2,4,56,0
